round,client_id,test_acc,test_loss,trust_score,is_malicious_detected,grad_norm,param_divergence,cosine_similarity,performance_variance,label_flip_score,predicted_trust,dp_epsilon,aggregation_method
1,0,0.9904761904761905,0.47745920686984444,0.9448996980985006,False,2.9746603965759277,0.05510030190149943,computed,computed,computed,-1.0,0.0,median
1,17,0.9904761904761905,0.47745920686984444,0.8734512329101562,False,2.9746603965759277,0.12654876708984375,computed,computed,computed,-1.0,0.0,median
1,15,0.9904761904761905,0.47745920686984444,0.8470061381657918,False,2.9746603965759277,0.15299386183420816,computed,computed,computed,-1.0,0.0,median
1,1,0.9904761904761905,0.47745920686984444,0.8416996399561564,False,2.9746603965759277,0.1583003600438436,computed,computed,computed,-1.0,0.0,median
1,8,0.9904761904761905,0.47745920686984444,1.0,False,2.9746603965759277,0.0,computed,computed,computed,-1.0,0.0,median
1,5,0.9904761904761905,0.47745920686984444,0.9411931832631429,False,2.9746603965759277,0.058806816736857094,computed,computed,computed,-1.0,0.0,median
1,11,0.9904761904761905,0.47745920686984444,0.7980526804924011,False,2.9746603965759277,0.20194731950759887,computed,computed,computed,-1.0,0.0,median
1,3,0.9904761904761905,0.47745920686984444,1.0,False,2.9746603965759277,0.0,computed,computed,computed,-1.0,0.0,median
1,18,0.9904761904761905,0.47745920686984444,0.9248033960660299,False,2.9746603965759277,0.07519660393397014,computed,computed,computed,-1.0,0.0,median
1,16,0.9904761904761905,0.47745920686984444,0.9764548738797506,False,2.9746603965759277,0.02354512612024943,computed,computed,computed,-1.0,0.0,median
1,13,0.9904761904761905,0.47745920686984444,0.914199968179067,False,2.9746603965759277,0.08580003182093303,computed,computed,computed,-1.0,0.0,median
1,2,0.9904761904761905,0.47745920686984444,0.6523072878519693,True,2.9746603965759277,0.3476927121480306,computed,computed,computed,-1.0,0.0,median
1,9,0.9904761904761905,0.47745920686984444,0.9064517418543497,False,2.9746603965759277,0.09354825814565022,computed,computed,computed,-1.0,0.0,median
1,19,0.9904761904761905,0.47745920686984444,0.9759212930997213,False,2.9746603965759277,0.02407870690027873,computed,computed,computed,-1.0,0.0,median
1,4,0.9904761904761905,0.47745920686984444,0.9187783002853394,False,2.9746603965759277,0.08122169971466064,computed,computed,computed,-1.0,0.0,median
2,19,0.9333333333333333,0.3767935038338021,0.9927763879299163,False,1.7797011137008667,0.0,computed,computed,computed,-1.0,0.0,median
2,16,0.9333333333333333,0.3767935038338021,0.9929364621639252,False,1.7797011137008667,0.0,computed,computed,computed,-1.0,0.0,median
2,15,0.9333333333333333,0.3767935038338021,0.9541018414497375,False,1.7797011137008667,0.0,computed,computed,computed,-1.0,0.0,median
2,5,0.9333333333333333,0.3767935038338021,0.971122008562088,False,1.7797011137008667,0.01605135202407837,computed,computed,computed,-1.0,0.0,median
2,4,0.9333333333333333,0.3767935038338021,0.9756334900856017,False,1.7797011137008667,0.0,computed,computed,computed,-1.0,0.0,median
2,12,0.9333333333333333,0.3767935038338021,1.0,False,1.7797011137008667,0.0,computed,computed,computed,-1.0,0.0,median
2,14,0.9333333333333333,0.3767935038338021,0.9556395212809244,False,1.7797011137008667,0.04436047871907552,computed,computed,computed,-1.0,0.0,median
2,7,0.9333333333333333,0.3767935038338021,0.9470727443695068,False,1.7797011137008667,0.052927255630493164,computed,computed,computed,-1.0,0.0,median
2,3,0.9333333333333333,0.3767935038338021,1.0,False,1.7797011137008667,0.0,computed,computed,computed,-1.0,0.0,median
2,6,0.9333333333333333,0.3767935038338021,0.9752612312634786,False,1.7797011137008667,0.024738768736521404,computed,computed,computed,-1.0,0.0,median
2,2,0.9333333333333333,0.3767935038338021,0.8283092466990153,False,1.7797011137008667,0.09626134236653645,computed,computed,computed,-1.0,0.0,median
2,9,0.9333333333333333,0.3767935038338021,0.9278479258219401,False,1.7797011137008667,0.0629822810490926,computed,computed,computed,-1.0,0.0,median
